ID,KIDSDRIV,PLCYDATE,TRAVTIME,CAR_USE,POLICYNO,BLUEBOOK,INITDATE,RETAINED,NPOLICY,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CLM_FLAG,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,GENDER,MARRIED,PARENT1,JOBCLASS,MAX_EDUC,HOME_VAL,SAMEHOME,DENSITY,YEARQTR,Year,Quarter,plc_year,plc_day,plc_month,ini_year,ini_day,ini_month,birth_year,birth_day,birth_month
100830732,0,14juin97,25,Private,39800794,7520.0,18mai97,1,2,Sports Car,no,1101.0,1,No,0,0.0,No,08mars57,41-60,2,13.0,7313.0,F,Yes,No,Home Maker,Bachelors,94969.0,9.0,Urban,1997Q2,1997,2,97,14,6,97,18,5,57,08,3
100830732,0,23mars97,25,Private,70616796,14300.0,22mai80,17,2,SUV,no,27090.0,1,No,5,0.0,No,08mars57,41-60,2,13.0,7313.0,F,Yes,No,Home Maker,Bachelors,94969.0,9.0,Urban,1997Q1,1997,1,97,23,3,80,22,5,57,08,3
10083678,0,26avril95,26,Commercial,4388414,11050.0,17mai89,6,2,Pickup,no,41833.0,3,Yes,5,0.0,No,15décembre40,41-60,0,10.0,37528.0,M,Yes,No,Home Maker,Masters,185996.0,8.301128714921818,Highly Urban,1995Q2,1995,2,95,26,4,89,17,5,40,15,12
100837521,0,19mai97,28,Private,26783276,3770.0,20avril97,1,2,Sedan,no,5581.0,3,No,2,9117.0,Yes,13décembre71,25-40,1,11.0,27957.0,M,No,Yes,Clerical,High School,0.0,10.0,Highly Rural,1997Q2,1997,2,97,19,5,97,20,4,71,13,12
100896763,0,24novembre93,43,Private,30576473,15240.0,27novembre80,13,1,Sedan,no,0.0,0,No,2,0.0,No,24juillet61,25-40,0,9.0,23864.0,M,No,No,Clerical,<High School,0.0,1.0,Highly Rural,1993Q4,1993,4,93,24,11,80,27,11,61,24,7
101014360,0,22juillet95,17,Private,81242865,11560.0,23juillet91,4,1,SUV,no,0.0,0,No,1,0.0,No,27juin48,41-60,0,12.0,58714.0,F,Yes,No,Manager,Bachelors,220686.0,10.0,Urban,1995Q3,1995,3,95,22,7,91,23,7,48,27,6
101209161,0,28octobre97,43,Commercial,15272807,13950.0,09novembre93,4,2,SUV,no,0.0,0,No,1,0.0,No,25janvier61,25-40,0,12.0,73664.0,F,No,No,Blue Collar,Bachelors,0.0,13.0,Highly Rural,1997Q4,1997,4,97,28,10,93,09,11,61,25,1
101209161,0,13novembre97,43,Commercial,17222568,15110.0,11novembre84,13,2,SUV,no,0.0,0,No,2,0.0,No,25janvier61,25-40,0,12.0,73664.0,F,No,No,Blue Collar,Bachelors,0.0,13.0,Highly Rural,1997Q4,1997,4,97,13,11,84,11,11,61,25,1
101302659,0,17juillet93,10,Commercial,45554152,43590.0,17juillet93,1,1,Sedan,no,0.0,0,No,1,0.0,No,30décembre32,>60,0,12.0,83827.0,F,Yes,No,Blue Collar,Bachelors,275725.0,8.0,Urban,1993Q3,1993,3,93,17,7,93,17,7,32,30,12
101437485,0,15mai96,5,Private,8375768,15140.0,21mai74,22,1,SUV,no,8431.0,1,No,4,0.0,No,05juillet60,25-40,0,10.0,31869.0,F,No,No,Clerical,High School,0.0,7.0,Urban,1996Q2,1996,2,96,15,5,74,21,5,60,05,7
101684050,0,06juillet95,31,Private,47194110,26200.0,06juillet95,1,1,Pickup,no,0.0,0,No,0,0.0,No,27décembre45,41-60,0,16.0,148193.0,F,Yes,No,Professional,Bachelors,436694.0,16.0,Urban,1995Q3,1995,3,95,06,7,95,06,7,45,27,12
101731472,0,20juillet97,45,Commercial,19922522,9170.0,26juin86,11,3,SUV,no,1881.0,1,No,8,4127.0,Yes,17mai64,25-40,2,14.0,29250.0,F,Yes,No,Blue Collar,High School,159239.0,7.0,Highly Urban,1997Q3,1997,3,97,20,7,86,26,6,64,17,5
101731472,0,24mai97,45,Commercial,31129320,23380.0,23juin97,1,3,Pickup,no,0.0,0,No,1,0.0,No,17mai64,25-40,2,14.0,29250.0,F,Yes,No,Blue Collar,High School,159239.0,7.0,Highly Urban,1997Q2,1997,2,97,24,5,97,23,6,64,17,5
10185862,0,25décembre93,22,Private,15868020,11390.0,31décembre82,11,3,Pickup,no,0.0,0,No,0,0.0,No,12novembre49,41-60,0,14.0,15989.0,M,Yes,No,Clerical,<High School,117038.0,5.0,Urban,1993Q4,1993,4,93,25,12,82,31,12,49,12,11
10185862,0,14décembre93,22,Private,21319828,20000.0,01janvier79,14,3,Van,no,0.0,0,Yes,0,0.0,No,12novembre49,41-60,0,14.0,15989.0,M,Yes,No,Clerical,<High School,117038.0,5.0,Urban,1993Q4,1993,4,93,14,12,79,01,1,49,12,11
10185862,0,04janvier94,22,Private,62120411,15330.0,29décembre89,4,3,Sedan,no,0.0,0,No,0,0.0,No,12novembre49,41-60,0,14.0,61610.074431993424,M,Yes,No,Clerical,<High School,117038.0,5.0,Urban,1994Q1,1994,1,94,04,1,89,29,12,49,12,11
102077932,0,24mars96,5,Private,56306672,20310.0,27mars87,9,1,SUV,no,6596.0,1,No,6,0.0,No,28février73,25-40,4,12.0,27666.0,F,Yes,No,Clerical,High School,0.0,9.0,Rural,1996Q1,1996,1,96,24,3,87,27,3,73,28,2
102080091,0,03novembre98,36,Private,98446959,6770.0,04novembre94,4,1,SUV,no,0.0,0,No,0,0.0,No,23mars70,25-40,4,4.0,23652.0,F,No,Yes,Clerical,High School,0.0,8.0,Rural,1998Q4,1998,4,98,03,11,94,04,11,70,23,3
102262070,0,27juillet96,34,Commercial,45051866,21830.0,14juin93,3,3,Van,yes,8170.0,2,No,3,0.0,No,12septembre53,41-60,0,11.0,146882.0,M,No,No,Manager,PhD,0.0,10.0,Urban,1996Q3,1996,3,96,27,7,93,14,6,53,12,9
102318953,0,12juillet94,47,Commercial,49251325,4200.0,14juillet94,1,4,Sports Car,no,0.0,0,No,4,4102.0,Yes,15février72,25-40,3,13.0,35851.0,F,Yes,No,Blue Collar,High School,147018.0,1.0,Highly Urban,1994Q3,1994,3,94,12,7,94,14,7,72,15,2
102411690,0,13octobre97,51,Commercial,14442896,6700.0,16octobre87,10,1,Pickup,yes,5984.0,2,No,6,1070.0,Yes,15septembre47,41-60,0,13.0,77351.0,M,Yes,No,Student,Masters,187879.0,16.0,Urban,1997Q4,1997,4,97,13,10,87,16,10,47,15,9
102503044,0,16décembre96,47,Private,96500231,13030.0,05février97,1,3,SUV,no,2334.0,1,No,3,14509.0,Yes,19juin58,41-60,0,0.0,0.0,F,No,No,Home Maker,Masters,109155.0,15.0,Urban,1996Q4,1996,4,96,16,12,97,05,2,58,19,6
102778835,0,14septembre94,7,Private,28680887,14630.0,18septembre77,17,1,Sedan,yes,0.0,0,No,1,0.0,No,05septembre43,41-60,2,11.0,75265.0,M,No,Yes,Manager,High School,212010.0,10.0,Urban,1994Q3,1994,3,94,14,9,77,18,9,43,05,9
102861617,3,30septembre95,75,Private,93671372,13070.0,30septembre95,1,1,Sports Car,no,3664.0,1,No,0,5064.0,Yes,23avril37,>60,4,16.0,53698.0,F,Yes,No,Professional,Bachelors,154602.48940547212,1.0,Rural,1995Q3,1995,3,95,30,9,95,30,9,37,23,4
102863719,0,09janvier94,25,Private,44772853,10010.0,11janvier88,6,1,Pickup,no,0.0,0,No,0,0.0,No,13février46,41-60,0,6.0,32073.0,M,Yes,No,Blue Collar,High School,145645.0,10.0,Rural,1994Q1,1994,1,94,09,1,88,11,1,46,13,2
103108106,0,08septembre94,40,Commercial,17577280,16010.0,09septembre88,6,1,Sedan,yes,0.0,0,No,1,0.0,No,24février50,41-60,0,14.0,96143.0,M,Yes,No,Blue Collar,Bachelors,275140.0,12.0,Highly Rural,1994Q3,1994,3,94,08,9,88,09,9,50,24,2
103293644,0,22avril98,12,Private,31370284,13030.0,06mai98,1,4,Sports Car,no,0.0,0,No,0,4307.0,Yes,19aoűt67,25-40,1,11.0,36179.0,F,No,Yes,Clerical,<High School,106892.0,6.0,Highly Rural,1998Q2,1998,2,98,22,4,98,06,5,67,19,8
103293644,0,29avril95,39,Private,93650539,9810.0,08mai91,4,4,SUV,no,0.0,0,No,0,0.0,No,19aoűt65,25-40,1,11.0,45384.0,F,No,Yes,Clerical,High School,187731.0,8.0,Rural,1995Q2,1995,2,95,29,4,91,08,5,65,19,8
103544547,0,15mars97,26,Commercial,33523770,48380.0,10avril93,4,2,Panel Truck,no,0.0,0,Yes,1,6290.0,Yes,14aoűt40,41-60,0,14.0,119537.0,F,Yes,No,Professional,PhD,360697.0,20.0,Urban,1997Q1,1997,1,97,15,3,93,10,4,40,14,8
103663917,1,27juin98,9,Private,80406986,10840.0,29juin91,7,1,Sedan,yes,3973.0,1,No,0,0.0,No,08juillet60,25-40,2,7.0,3414.0,M,Yes,No,Student,<High School,0.0,8.301128714921818,Highly Urban,1998Q2,1998,2,98,27,6,91,29,6,60,08,7
103763168,1,18octobre93,58,Private,18863305,15400.0,20octobre87,6,1,SUV,no,0.0,0,No,0,0.0,No,27septembre62,25-40,3,9.0,27431.0,F,No,Yes,Blue Collar,<High School,153652.0,7.0,Highly Rural,1993Q4,1993,4,93,18,10,87,20,10,62,27,9
103824645,0,10octobre96,14,Private,56992934,8540.0,12octobre90,6,1,Pickup,no,3653.0,1,No,2,1745.0,Yes,08février47,41-60,0,13.0,18426.0,M,No,No,Clerical,<High School,137473.0,1.0,Highly Urban,1996Q4,1996,4,96,10,10,90,12,10,47,08,2
103901939,0,20avril94,63,Private,98189611,8420.0,22avril87,7,1,SUV,no,3721.0,2,No,2,0.0,No,13octobre50,41-60,0,0.0,0.0,F,No,No,Home Maker,Bachelors,124751.0,12.0,Highly Urban,1994Q2,1994,2,94,20,4,87,22,4,50,13,10
103962387,0,13février94,12,Private,24377938,6550.0,15février87,7,1,Pickup,yes,7475.0,1,No,4,0.0,No,27juin67,25-40,0,9.0,36763.0,M,Yes,No,Blue Collar,<High School,175960.0,5.0,Highly Urban,1994Q1,1994,1,94,13,2,87,15,2,67,27,6
103995962,0,20juin95,16,Private,19179842,12710.0,12juillet95,1,2,SUV,no,0.0,0,No,0,0.0,No,09mai65,25-40,3,14.0,31389.0,F,Yes,No,Blue Collar,<High School,158657.0,5.0,Rural,1995Q2,1995,2,95,20,6,95,12,7,65,09,5
104057457,1,23juillet98,17,Commercial,36864135,19880.0,23juillet98,1,1,Sports Car,no,0.0,0,Yes,0,3642.0,Yes,17février54,41-60,2,8.0,48819.0,F,Yes,No,Blue Collar,Bachelors,198108.0,13.0,Highly Urban,1998Q3,1998,3,98,23,7,98,23,7,54,17,2
104255852,0,31janvier97,51,Commercial,29784838,28560.0,22janvier90,7,2,Panel Truck,yes,0.0,0,No,0,0.0,No,11février39,41-60,0,13.0,99441.0,M,No,No,Doctor,PhD,0.0,13.0,Urban,1997Q1,1997,1,97,31,1,90,22,1,39,11,2
104317389,0,17aoűt94,41,Private,61132844,15040.0,18aoűt90,4,1,Sedan,no,0.0,0,No,1,0.0,No,05juin42,41-60,0,14.0,135361.0,M,Yes,No,Lawyer,Masters,390682.0,10.0,Rural,1994Q3,1994,3,94,17,8,90,18,8,42,05,6
104648893,0,03mars99,20,Private,72641654,11130.0,19février99,1,2,Sedan,no,0.0,0,No,1,0.0,No,27juin47,41-60,0,11.0,96339.0,M,Yes,No,Manager,Bachelors,321111.0,12.0,Urban,1999Q1,1999,1,99,03,3,99,19,2,47,27,6
104793760,2,29octobre97,38,Private,74771002,9670.0,31octobre94,3,3,SUV,no,0.0,0,No,0,4614.0,Yes,13février55,41-60,3,14.0,15385.0,F,No,Yes,Clerical,<High School,0.0,5.0,Highly Urban,1997Q4,1997,4,97,29,10,94,31,10,55,13,2
104793760,2,25octobre96,60,Private,86639378,9690.0,02novembre87,9,3,SUV,no,34514.0,1,Yes,0,4290.0,Yes,13février54,41-60,3,14.0,36912.0,F,No,Yes,Clerical,Bachelors,0.0,12.0,Urban,1996Q4,1996,4,96,25,10,87,02,11,54,13,2
104793760,2,06octobre96,60,Private,96766882,6550.0,02novembre84,12,3,SUV,no,3791.0,1,No,7,0.0,No,13février54,41-60,3,14.0,36912.0,F,No,Yes,Clerical,Bachelors,0.0,12.0,Urban,1996Q4,1996,4,96,06,10,84,02,11,54,13,2
10483691,0,04septembre97,17,Private,57107493,4600.0,06septembre91,6,1,Sports Car,no,0.0,0,No,0,4259.0,Yes,14avril68,25-40,1,12.0,33782.0,F,No,Yes,Clerical,High School,0.0,5.0,Urban,1997Q3,1997,3,97,04,9,91,06,9,68,14,4
104947912,0,09mars96,37,Commercial,50698771,23520.0,10avril86,10,2,Panel Truck,no,3236.0,1,No,0,0.0,No,28juin66,25-40,2,14.0,61610.074431993424,M,Yes,No,Student,Bachelors,153659.0,10.0,Urban,1996Q1,1996,1,96,09,3,86,10,4,66,28,6
105136025,0,16février98,64,Commercial,26084910,8760.0,14mars98,1,2,Pickup,yes,0.0,0,No,0,0.0,No,28juillet52,41-60,0,10.0,25620.0,M,Yes,No,Clerical,High School,141115.0,10.0,Highly Rural,1998Q1,1998,1,98,16,2,98,14,3,52,28,7
105136025,0,08avril98,64,Private,60548285,8760.0,15mars92,6,2,Sedan,yes,0.0,0,No,0,0.0,No,28juillet52,41-60,0,10.0,25620.0,M,Yes,No,Clerical,High School,141115.0,10.0,Highly Rural,1998Q2,1998,2,98,08,4,92,15,3,52,28,7
105167366,0,12octobre96,47,Private,5128542,15490.0,24octobre87,9,3,SUV,no,0.0,0,No,1,0.0,No,13juillet56,41-60,3,15.0,102262.0,F,Yes,No,Lawyer,Masters,266234.0,15.0,Highly Urban,1996Q4,1996,4,96,12,10,87,24,10,56,13,7
105167366,0,23septembre96,47,Private,15566654,1500.0,24octobre86,10,3,Sports Car,no,0.0,0,No,0,0.0,No,14juillet55,41-60,3,15.0,61610.074431993424,F,Yes,No,Lawyer,Masters,155178.0,16.0,Urban,1996Q3,1996,3,96,23,9,86,24,10,55,14,7
105167366,0,10septembre97,39,Private,24119057,15270.0,24octobre87,10,3,Sedan,no,0.0,0,No,0,6111.0,Yes,14juillet55,41-60,3,15.0,61610.074431993424,F,Yes,No,Lawyer,Masters,155178.0,16.0,Urban,1997Q3,1997,3,97,10,9,87,24,10,55,14,7
105282377,0,25février98,69,Commercial,7177877,5900.0,10mars91,7,2,SUV,no,0.0,0,No,0,0.0,No,04aoűt55,41-60,0,9.0,70914.0,F,No,No,Blue Collar,Bachelors,0.0,9.0,Rural,1998Q1,1998,1,98,25,2,91,10,3,55,04,8
10530845,0,23mai94,38,Private,17399837,6040.0,25mai87,7,1,SUV,no,0.0,0,No,0,0.0,No,16novembre46,41-60,0,12.0,45387.0,F,Yes,No,Lawyer,Masters,162853.0,13.0,Urban,1994Q2,1994,2,94,23,5,87,25,5,46,16,11
105310315,0,30octobre95,66,Commercial,18581792,10780.0,31octobre91,4,1,Pickup,yes,0.0,0,No,0,0.0,No,21juin47,41-60,0,13.0,40833.0,M,Yes,No,Blue Collar,<High School,159144.0,4.0,Highly Rural,1995Q4,1995,4,95,30,10,91,31,10,47,21,6
105395217,0,15avril95,48,Commercial,78190530,6100.0,26avril95,1,2,Pickup,no,0.0,0,No,1,0.0,No,15décembre52,41-60,0,4.0,56062.0,M,No,No,Professional,Bachelors,223241.0,7.0,Rural,1995Q2,1995,2,95,15,4,95,26,4,52,15,12
105409665,0,26aoűt98,24,Commercial,75877865,29670.0,13aoűt98,1,2,Panel Truck,yes,5053.0,3,No,4,0.0,No,09juin51,41-60,0,14.0,50201.0,M,Yes,No,Manager,High School,169828.0,1.0,Urban,1998Q3,1998,3,98,26,8,98,13,8,51,09,6
105645072,0,26janvier95,45,Private,3629054,18060.0,01janvier86,8,2,SUV,no,0.0,0,No,0,0.0,No,17mars56,41-60,0,11.0,39848.0,F,No,No,Lawyer,Masters,136304.0,15.0,Urban,1995Q1,1995,1,95,26,1,86,01,1,56,17,3
105645072,0,18décembre94,45,Private,26004049,5800.0,01janvier85,9,2,SUV,no,3010.0,5,No,0,0.0,No,17mars56,41-60,0,11.0,39848.0,F,No,No,Lawyer,Masters,136304.0,15.0,Urban,1994Q4,1994,4,94,18,12,85,01,1,56,17,3
105761550,0,29mars99,28,Private,82710078,15600.0,29mars99,1,1,Sedan,yes,47231.0,3,Yes,1,0.0,No,11aoűt59,25-40,0,11.0,60157.0,M,No,No,Manager,High School,216690.0,6.0,Urban,1999Q1,1999,1,99,29,3,99,29,3,59,11,8
105812018,0,17juillet98,32,Private,45344779,43350.0,19juillet88,10,1,Van,no,0.0,0,No,1,0.0,No,23septembre48,41-60,0,3.0,93268.0,F,Yes,No,Clerical,<High School,302157.0,8.301128714921818,Highly Urban,1998Q3,1998,3,98,17,7,88,19,7,48,23,9
105813423,1,25juin96,22,Private,5071625,16860.0,13juin92,4,3,Van,yes,0.0,0,No,0,0.0,No,02septembre58,41-60,3,5.0,30043.0,M,No,Yes,Clerical,High School,154602.48940547212,1.0,Highly Urban,1996Q2,1996,2,96,25,6,92,13,6,58,02,9
105813423,1,28mai97,37,Private,38892485,20630.0,13juin93,4,3,Van,yes,6870.0,2,No,1,14755.0,Yes,02septembre57,41-60,3,5.0,21042.0,M,No,Yes,Clerical,High School,154602.48940547212,8.0,Rural,1997Q2,1997,2,97,28,5,93,13,6,57,02,9
105861671,0,11octobre96,26,Commercial,65624585,23460.0,10octobre82,14,2,Sedan,no,0.0,0,No,2,0.0,No,16mars49,41-60,0,9.0,58724.0,F,Yes,No,Blue Collar,Bachelors,280436.0,7.0,Highly Urban,1996Q4,1996,4,96,11,10,82,10,10,49,16,3
105990644,0,05octobre96,24,Commercial,75811989,7390.0,07octobre90,6,1,Pickup,no,0.0,0,No,2,16916.0,Yes,23juin42,41-60,0,13.0,117612.0,M,Yes,No,Clerical,PhD,154602.48940547212,16.0,Highly Urban,1996Q4,1996,4,96,05,10,90,07,10,42,23,6
105992679,0,05septembre98,17,Private,14623142,35760.0,06septembre94,4,1,Sedan,no,0.0,0,No,0,0.0,No,08juillet45,41-60,0,7.0,221413.0,M,Yes,No,Lawyer,Masters,511661.0,17.0,Urban,1998Q3,1998,3,98,05,9,94,06,9,45,08,7
10599924,0,30janvier94,22,Private,22962118,6700.0,02février84,10,1,Sedan,yes,0.0,0,No,0,0.0,No,31aoűt47,41-60,0,6.0,168168.0,M,No,No,Lawyer,Masters,0.0,15.0,Highly Urban,1994Q1,1994,1,94,30,1,84,02,2,47,31,8
106556153,0,21février97,28,Commercial,1446093,20920.0,02février94,3,4,Van,yes,6224.0,1,No,1,4028.0,Yes,04mars73,25-40,0,8.0,53244.0,M,No,No,Professional,Bachelors,0.0,8.0,Urban,1997Q1,1997,1,97,21,2,94,02,2,73,04,3
106556153,0,18février95,59,Commercial,81589683,29190.0,04février85,10,4,Panel Truck,yes,0.0,0,No,0,0.0,No,05mars70,25-40,0,8.0,38494.0,M,No,No,Professional,Bachelors,0.0,8.0,Rural,1995Q1,1995,1,95,18,2,85,04,2,70,05,3
10677450,0,18novembre95,23,Private,30717924,6200.0,19novembre91,4,1,Sports Car,no,6841.0,1,No,0,0.0,No,15avril52,41-60,0,10.0,87887.0,F,No,No,Professional,Bachelors,0.0,14.0,Urban,1995Q4,1995,4,95,18,11,91,19,11,52,15,4
106831659,0,01avril96,26,Private,12840385,13150.0,01avril96,1,1,SUV,no,5484.0,1,No,0,4209.0,Yes,23janvier60,25-40,0,13.0,22348.0,F,No,No,Clerical,High School,0.0,1.0,Highly Urban,1996Q2,1996,2,96,01,4,96,01,4,60,23,1
106952963,3,19juin95,14,Commercial,9233140,24440.0,20juin91,4,1,Panel Truck,yes,5818.0,1,No,1,0.0,No,20juillet62,25-40,3,10.0,107765.0,M,No,Yes,Manager,Masters,309216.0,17.0,Urban,1995Q2,1995,2,95,19,6,91,20,6,62,20,7
107074178,0,02février95,32,Private,61050716,16370.0,04février86,9,1,Sports Car,no,0.0,0,No,0,2000.0,Yes,24septembre38,>60,0,11.0,80153.0,F,No,No,Manager,Masters,272445.0,15.0,Urban,1995Q1,1995,1,95,02,2,86,04,2,38,24,9
107271421,0,27janvier96,14,Commercial,86512629,21540.0,28janvier89,7,1,Van,yes,0.0,0,No,2,0.0,No,21décembre54,41-60,0,9.0,156367.0,M,Yes,No,Professional,Masters,424404.0,20.0,Urban,1996Q1,1996,1,96,27,1,89,28,1,54,21,12
107330101,1,04décembre95,57,Commercial,11597106,6000.0,04décembre95,1,1,Sedan,yes,0.0,0,No,0,13042.0,Yes,25mars54,41-60,2,14.0,28731.0,M,No,Yes,Blue Collar,High School,0.0,1.0,Highly Urban,1995Q4,1995,4,95,04,12,95,04,12,54,25,3
107491590,0,13aoűt95,69,Private,96169601,5600.0,15aoűt86,9,1,Sports Car,no,7551.0,1,No,0,0.0,No,19décembre57,41-60,2,9.0,59936.0,F,No,Yes,Professional,Bachelors,0.0,8.301128714921818,Rural,1995Q3,1995,3,95,13,8,86,15,8,57,19,12
10755990,0,01novembre95,50,Private,44973976,6400.0,15novembre83,12,2,Pickup,yes,0.0,0,No,1,0.0,No,27octobre50,41-60,0,14.0,54639.0,M,No,No,Clerical,<High School,0.0,1.0,Rural,1995Q4,1995,4,95,01,11,83,15,11,50,27,10
10755990,0,28novembre95,50,Private,59404059,28140.0,12novembre95,1,2,Sedan,yes,0.0,0,No,0,0.0,No,27octobre50,41-60,0,14.0,54639.0,M,No,No,Clerical,<High School,0.0,1.0,Rural,1995Q4,1995,4,95,28,11,95,12,11,50,27,10
107563670,0,25février99,21,Private,26142765,19400.0,25février99,1,1,Sports Car,no,0.0,0,No,1,0.0,No,10aoűt52,41-60,0,16.0,131985.0,F,Yes,No,Lawyer,Masters,385981.0,11.0,Highly Urban,1999Q1,1999,1,99,25,2,99,25,2,52,10,8
107915355,0,07avril97,42,Private,90317100,26500.0,10avril86,11,1,Pickup,no,0.0,0,No,0,0.0,No,16novembre46,41-60,0,11.0,197036.0,F,No,No,Lawyer,PhD,498667.0,20.0,Highly Urban,1997Q2,1997,2,97,07,4,86,10,4,46,16,11
108018902,0,01janvier94,34,Commercial,45564155,23140.0,01janvier94,1,1,Panel Truck,yes,21481.0,4,Yes,7,2424.0,Yes,31aoűt62,25-40,0,10.0,85504.0,M,No,No,Blue Collar,Bachelors,0.0,8.301128714921818,Highly Urban,1994Q1,1994,1,94,01,1,94,01,1,62,31,8
108036736,0,28février95,34,Private,34656282,20900.0,02mars86,9,1,Van,yes,11407.0,2,No,4,0.0,No,29janvier47,41-60,0,12.0,75774.0,M,Yes,No,Doctor,PhD,258868.0,22.0,Urban,1995Q1,1995,1,95,28,2,86,02,3,47,29,1
108145983,0,11juin94,37,Private,28456416,6800.0,09juillet94,1,2,Pickup,yes,0.0,0,No,1,0.0,No,02décembre45,41-60,0,12.0,113918.0,M,No,No,Lawyer,Masters,0.0,19.0,Highly Urban,1994Q2,1994,2,94,11,6,94,09,7,45,02,12
108286925,0,04juin98,33,Private,14033763,6850.0,05juin92,6,1,SUV,no,0.0,0,No,0,0.0,No,10mai50,41-60,0,12.0,4542.0,F,Yes,No,Home Maker,Bachelors,116360.0,5.0,Urban,1998Q2,1998,2,98,04,6,92,05,6,50,10,5
108351653,2,16octobre93,14,Private,71588089,16220.0,16octobre93,1,1,Van,no,9216.0,2,No,2,4623.0,Yes,02avril59,25-40,3,14.0,58914.0,M,No,Yes,Professional,Bachelors,0.0,10.0,Highly Urban,1993Q4,1993,4,93,16,10,93,16,10,59,02,4
108385737,1,02octobre98,25,Private,951364,1500.0,02octobre98,1,1,Sedan,yes,0.0,0,No,2,2371.0,Yes,07mars54,41-60,2,11.0,102393.0,M,No,Yes,Professional,Bachelors,0.0,11.0,Urban,1998Q4,1998,4,98,02,10,98,02,10,54,07,3
108387664,0,18septembre98,38,Private,67139158,12940.0,18septembre98,1,1,Sedan,yes,0.0,0,No,0,0.0,No,27septembre52,41-60,0,9.0,67433.0,M,Yes,No,Professional,Bachelors,155700.0,4.0,Urban,1998Q3,1998,3,98,18,9,98,18,9,52,27,9
108450748,0,05décembre93,25,Private,70431557,16970.0,12novembre93,1,3,Sports Car,no,0.0,0,No,3,0.0,No,10septembre51,41-60,0,12.0,105199.0,F,No,No,Lawyer,Masters,154602.48940547212,14.0,Highly Urban,1993Q4,1993,4,93,05,12,93,12,11,51,10,9
